0x807110,Name,Desc,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,POW,SKL,SPD,DEF,RES,CON,MOV,Max HP,POW,SKL,SPD,DEF,RES,CON,CRP,HP Growth,POW,SKL,SPD,DEF,RES,LUK,HP Promo,POW,SKL,SPD,DEF,RES,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,SWD,LNC,AXE,BOW,STF,ANM,LGT,DRK,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain avoid bonus,Terrain defence bonus,Terrain resistance bonus,Class type/weaknesses
None,0x0,0x0,0x0,0x0,0x0,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x2,0x0,0x0,0x1,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
Ephraim Lord,0x2bf,0x309,0x1,0x3,0x0,0,0x8b,0x1,0,0,0,0,0,0,8,5,60,20,20,20,20,20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x20,0,31,0,0,0,0,0,0,0x88aefd8,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Eirika Lord,0x2bf,0x30a,0x2,0x4,0x1,0,0x8b,0x1,0,0,0,0,0,0,5,5,60,20,20,20,20,20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x2,0x10,1,0,0,0,0,0,0,0,0x88aefe4,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Ephraim Promo,0x2c0,0x30b,0x3,0x1,0x2,0,0x8b,0x2,0,0,0,0,0,0,10,7,60,27,26,24,23,23,25,3,0,0,0,0,0,0,0,4,2,3,2,2,5,0x3,0x5,0x0,0x20,0,71,0,0,0,0,0,0,0x88aeff0,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Eirika Promo,0x2c0,0x30c,0x4,0x2,0x3,0,0x8b,0x2,0,0,0,0,0,0,7,7,60,24,29,30,22,25,25,3,0,0,0,0,0,0,0,4,2,2,1,3,5,0x3,0x5,0x2,0x10,71,0,0,0,0,0,0,0,0x88aeffc,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,(HorseType|SwordType)
Cavalier,0x2c1,0x30d,0x5,0x7,0x4,0,0x80,0x20,18,2,2,2,2,1,9,7,60,20,20,20,20,20,25,3,80,40,40,40,40,40,40,0,0,0,0,0,0,0x3,0x4,0x0,0x0,1,31,0,0,0,0,0,0,0x88af008,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Cavalier (F),0x2c1,0x30d,0x6,0x8,0x4,0,0x80,0x20,18,2,2,2,1,2,9,7,60,20,20,20,20,20,25,3,80,40,40,40,40,40,40,1,0,2,2,0,2,0x3,0x4,0x0,0x0,1,31,0,0,0,0,0,0,0x88af018,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin,0x2c2,0x30e,0x7,0x5,0x5,0,0x81,0x21,26,5,4,5,3,6,10,8,60,25,26,24,25,25,25,3,30,10,5,10,10,5,5,2,1,1,1,2,1,0x3,0x5,0x0,0x0,31,31,0,0,0,0,0,0,0x88af028,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Paladin (F),0x2c2,0x30e,0x8,0x6,0x5,0,0x81,0x21,26,5,4,5,6,3,10,8,60,23,27,25,24,26,25,3,30,10,5,10,10,5,5,1,1,1,2,1,2,0x3,0x5,0x0,0x0,31,31,0,0,0,0,0,0,0x88af038,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType
Armour Knight,0x2c3,0x30f,0x9,0xb,0x6,1,0x76,0xc,20,3,0,0,5,0,14,4,60,20,20,20,20,20,20,3,90,70,50,25,70,20,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,1,1,1,0,0,0,0,0,0x88af048,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,ArmorType
Landsknecht,LandsknechtName,LandsknechtDesc,0xa,0xf,0x1c,1,0xda,0xc,24,6,7,7,2,2,11,6,60,27,30,26,25,22,25,3,20,10,0,20,20,0,0,4,2,2,1,2,2,0x0,0x1,0x0,0x0,31,31,0,0,0,0,0,0,LandsknechtBattleAnimPtr|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
General,0x2c4,0x310,0xb,0x9,0x7,1,0x77,0xd,32,10,0,0,10,0,16,5,60,29,27,24,30,25,25,3,40,20,0,0,20,0,0,4,2,2,3,2,3,0x0,0x1,0x0,0x0,31,31,31,31,0,0,0,0,0x88af060,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,ArmorType
Halberdier,HalberdierName,HalberdierDesc,0xc,0x4e,0x1a,1,0xd9,0xd,24,6,7,7,2,2,10,6,60,26,30,28,25,26,25,3,20,10,0,20,20,0,0,3,2,3,2,2,3,0x0,0x1,0x0,0x0,0,71,0,0,0,0,0,0,HalberdierBattleAnimPtr|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief,0x2c5,0x311,0xd,0x17,0x8,0,0x8e,0x7,16,0,0,10,0,0,7,6,60,20,20,20,20,20,20,2,60,20,50,70,20,30,60,0,0,0,0,0,0,0xc,0x0,0x0,0x0,1,0,0,0,0,0,0,0,0x88af0a0,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,SwordType
Manakete,0x2d7,0x323,0xe,0x1f,0x9,0,0x8f,0x1f,20,0,0,0,0,0,20,8,60,20,20,20,20,20,20,2,90,70,70,70,70,70,70,0,0,0,0,0,0,0x0,0x0,0x4,0x0,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mercenary,0x2c6,0x312,0xf,0x11,0xa,0,0x90,0x3,16,1,4,4,1,0,8,5,60,20,20,20,20,20,20,3,80,50,50,50,25,25,40,0,0,0,0,0,0,0x0,0x0,0x0,0x0,1,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Mercenary (F),0x2c6,0x312,0x10,0x12,0xb,0,0x90,0x3,16,1,4,4,1,0,8,5,60,20,20,20,20,20,20,3,80,50,50,50,25,25,40,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero,0x2c7,0x313,0x11,0xf,0xc,0,0x91,0x4,24,5,6,6,5,2,10,6,60,25,30,26,25,22,25,3,20,5,5,15,15,5,5,4,1,2,2,2,2,0x0,0x1,0x0,0x0,31,0,31,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Hero (F),0x2c7,0x313,0x12,0x10,0xd,0,0x91,0x4,24,5,6,6,5,2,10,6,60,24,30,26,24,24,25,3,20,5,5,15,15,5,5,0,0,0,0,0,0,0x0,0x1,0x0,0x0,71,0,31,0,0,0,0,0,0x88af0ec,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,SwordType
Myrmidon,0x2c8,0x314,0x13,0x15,0xe,0,0x72,0x5,16,0,5,5,0,0,7,5,60,20,20,20,20,20,20,3,70,35,60,60,25,35,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,SwordType
